date,river_max_c,air_max_c,offset_c,month,year
2013-06-06,27.2840003967285,25.4,1.8840003967285028,6,2013
2013-06-07,31.4839992523193,26.2,5.283999252319301,6,2013
2013-06-08,21.2940006256104,21.6,-0.3059993743896001,6,2013
2013-06-09,18.9370002746582,21.2,-2.2629997253417997,6,2013
2013-06-10,24.9680004119873,23.1,1.8680004119872997,6,2013
2013-06-11,27.6770000457764,24.6,3.0770000457763977,6,2013
2013-06-12,28.2950000762939,27.0,1.2950000762938991,6,2013
2013-06-13,21.1030006408691,29.7,-8.596999359130898,6,2013
2013-06-14,20.3409996032715,27.7,-7.359000396728501,6,2013
2013-06-15,20.6030006408691,29.9,-9.296999359130897,6,2013
2013-06-16,21.6040000915527,29.9,-8.2959999084473,6,2013
2013-06-17,30.4689998626709,33.3,-2.8310001373290987,6,2013
2013-06-18,31.2549991607666,34.6,-3.3450008392334,6,2013
2013-06-19,28.6420001983643,28.9,-0.25799980163569813,6,2013
2013-06-20,24.5319995880127,24.5,0.031999588012698865,6,2013
2013-06-21,22.9440002441406,26.6,-3.6559997558594013,6,2013
2013-06-22,22.2259998321533,27.3,-5.074000167846702,6,2013
2013-06-23,22.2259998321533,25.8,-3.5740001678467017,6,2013
2013-06-24,23.9050006866455,22.3,1.6050006866455,6,2013
2013-06-25,25.2339992523193,23.0,2.2339992523193004,6,2013
2013-06-26,28.3199996948242,24.2,4.119999694824202,6,2013
2013-06-27,39.2620010375977,23.6,15.662001037597697,6,2013
2013-06-28,36.4710006713867,22.8,13.671000671386697,6,2013
2013-06-29,36.6609992980957,25.1,11.560999298095702,6,2013
2013-06-30,37.507999420166,26.2,11.307999420166002,6,2013
2013-07-01,42.2970008850098,30.2,12.097000885009802,7,2013
2013-07-02,38.8959999084473,29.1,9.7959999084473,7,2013
2013-07-03,33.3129997253418,25.1,8.212999725341795,7,2013
2013-07-04,33.939998626709,26.3,7.639998626708998,7,2013
2013-07-05,41.2680015563965,29.7,11.5680015563965,7,2013
2013-07-06,45.1539993286133,32.9,12.253999328613304,7,2013
2013-07-07,45.3730010986328,33.5,11.873001098632798,7,2013
2013-07-08,44.9990005493164,33.6,11.399000549316398,7,2013
2013-07-09,44.1349983215332,33.1,11.034998321533202,7,2013
2013-07-10,43.951000213623,32.5,11.451000213622997,7,2013
2013-07-11,34.8359985351562,31.6,3.235998535156199,7,2013
2013-07-12,43.4650001525879,32.5,10.965000152587898,7,2013
2013-07-13,44.1040000915527,32.5,11.604000091552699,7,2013
2013-07-14,42.8330001831055,32.5,10.333000183105497,7,2013
2013-07-15,42.2669982910156,33.3,8.9669982910156,7,2013
2013-07-16,44.0730018615723,34.0,10.073001861572301,7,2013
2013-07-17,42.6839981079102,32.5,10.183998107910199,7,2013
2013-07-18,36.3889999389648,31.1,5.2889999389648,7,2013
2013-07-19,37.6730003356934,30.3,7.373000335693401,7,2013
2013-07-20,38.5880012512207,32.5,6.088001251220703,7,2013
2013-07-21,43.3740005493164,34.1,9.274000549316398,7,2013
2013-07-22,45.5620002746582,35.3,10.262000274658206,7,2013
2013-07-23,45.2169990539551,35.2,10.016999053955097,7,2013
2013-07-24,44.0429992675781,34.9,9.142999267578098,7,2013
2013-07-25,42.2669982910156,35.6,6.666998291015595,7,2013
2013-07-26,42.9529991149902,35.1,7.852999114990197,7,2013
2013-07-27,43.7070007324219,36.0,7.707000732421903,7,2013
2013-07-28,41.5900001525879,31.9,9.6900001525879,7,2013
2013-07-29,33.992000579834,25.9,8.092000579834,7,2013
2013-07-30,37.0960006713867,27.5,9.596000671386697,7,2013
2013-07-31,41.2980003356934,30.9,10.398000335693403,7,2013
2013-08-01,40.0849990844727,32.3,7.784999084472702,8,2013
2013-08-02,46.226001739502,32.9,13.326001739502004,8,2013
